id;secid;shortname;regnumber;name;isin;is_traded;emitent_id;emitent_title;emitent_inn;emitent_okpo;gosreg;type;group;primary_boardid;marketprice_boardid
412234953;SU29018RMFS7;ОФЗ 29018;29018RMFS;ОФЗ-ПК 29018 26/11/2031;RU000A102A31;1;1374788;Министерство финансов Российской Федерации;7710168360;;29018RMFS;ofz_bond;stock_bonds;TQOB;TQOB
412192905;SU29019RMFS5;ОФЗ 29019;29019RMFS;ОФЗ-ПК 29019 18/07/2029;RU000A102A49;1;1374788;Министерство финансов Российской Федерации;7710168360;;29019RMFS;ofz_bond;stock_bonds;TQOB;TQOB
412282467;SU29020RMFS3;ОФЗ 29020;29020RMFS;ОФЗ-ПК 29020 22/09/2027;RU000A102BV4;1;1374788;Министерство финансов Российской Федерации;7710168360;;29020RMFS;ofz_bond;stock_bonds;TQOB;TQOB
420292859;SU29021RMFS1;ОФЗ 29021;29021RMFS;ОФЗ-ПК 29021 27/11/30;RU000A105B11;1;1374788;Министерство финансов Российской Федерации;7710168360;;29021RMFS;ofz_bond;stock_bonds;TQOB;TQOB
420607827;SU29022RMFS9;ОФЗ 29022;29022RMFS;ОФЗ-ПК 29022 20/07/33;RU000A105G16;1;1374788;Министерство финансов Российской Федерации;7710168360;;29022RMFS;ofz_bond;stock_bonds;TQOB;TQOB
420790685;SU29023RMFS7;ОФЗ 29023;29023RMFS;ОФЗ-ПК 29023 23/08/34;RU000A105L19;1;1374788;Министерство финансов Российской Федерации;7710168360;;29023RMFS;ofz_bond;stock_bonds;TQOB;TQOB
423078461;SU29024RMFS5;ОФЗ 29024;29024RMFS;ОФЗ-ПК 29024 18/04/35;RU000A1066D5;1;1374788;Министерство финансов Российской Федерации;7710168360;;29024RMFS;ofz_bond;stock_bonds;TQOB;TQOB
425027105;SU29025RMFS2;ОФЗ 29025;29025RMFS;ОФЗ-ПК 29025 12/08/37;RU000A106Z61;1;1374788;Министерство финансов Российской Федерации;7710168360;;29025RMFS;ofz_bond;stock_bonds;TQOB;TQOB
4551;SU46011RMFS1;ОФЗ 46011;46011RMFS;ОФЗ-АД 46011 20/08/25;RU0002867854;1;1374788;Министерство финансов Российской Федерации;7710168360;;46011RMFS;ofz_bond;stock_bonds;TQOB;TQOB
4552;SU46012RMFS9;ОФЗ 46012;46012RMFS;ОФЗ-АД 46012 05/09/29;RU0002868001;1;1374788;Министерство финансов Российской Федерации;7710168360;;46012RMFS;ofz_bond;stock_bonds;TQOB;TQOB
